comment,uppercase_count,comment_length,word_count,emoji_count,exclamation_count,question_count,clean_comment,duplicate_count,is_duplicate_comment,suspicion_score,is_suspicious,compound,sentiment,emotion,emotion_score,toxicity_score,is_toxic
"Geni Kamki here❤️
Thank you so much latent for giving so much love and the best memory of my life 🥰
Yes sirrrrrrrr🪱❣️",4,117,23,4,0,0,geni kamki here❤️ thank you so much latent for giving so much love and the best memory of my life 🥰 yes sirrrrrrrr🪱❣️,1,False,0,False,0.9814,Positive,joy,0.9456515312194824,0.0007004083599895239,False
Geni is a real powerhouse…she’s very talented,1,45,7,0,0,0,geni is a real powerhouse…she’s very talented,1,False,0,False,0.5563,Positive,neutral,0.4483756124973297,0.00038633603253401816,False
57:18 best moment 😂😂 57:23,0,26,5,2,0,0,57:18 best moment 😂😂 57:23,1,False,0,False,0.875,Positive,neutral,0.7725169062614441,0.0003738414088729769,False
Why voice is like that? I started just & then left watching it. It looks so fake.,3,81,17,0,0,1,why voice is like that? i started just & then left watching it. it looks so fake.,1,False,0,False,-0.3593,Negative,surprise,0.828678548336029,0.05907273292541504,False
Bhai ye scripts hai q Up ki police juth bol the hai yogi khud bharastacar hai,2,77,16,0,0,0,bhai ye scripts hai q up ki police juth bol the hai yogi khud bharastacar hai,1,False,0,False,0.0,Neutral,neutral,0.5033518671989441,0.012574998661875725,False
Chandan bhaiya 😂,1,16,3,1,0,0,chandan bhaiya 😂,1,False,0,False,0.4404,Positive,neutral,0.9481788873672485,0.002205082681030035,False
Where is Ep 3 🥲🥲 ???????like if u r waiting too,2,47,11,2,0,7,where is ep 3 🥲🥲 ???????like if u r waiting too,1,False,0,False,0.5362,Positive,neutral,0.523902416229248,0.0029251347295939922,False
Support cjp sonam wangchuk,1,26,4,0,0,0,support cjp sonam wangchuk,1,False,0,False,0.4019,Positive,neutral,0.6945362091064453,0.0018291649175807834,False
"4 offensive baat bolke i love you so much bhai , play safe play safe boi",0,72,16,0,0,0,"4 offensive baat bolke i love you so much bhai , play safe play safe boi",1,False,0,False,0.8957,Positive,joy,0.9658368825912476,0.006860469467937946,False
46:34 😂😂,0,8,2,2,0,0,46:34 😂😂,1,False,10,False,0.7003,Positive,neutral,0.9178264737129211,0.0007573077455163002,False
37:25 Best constable Sir ❤❤,2,27,5,2,0,0,37:25 best constable sir ❤❤,1,False,0,False,0.9274,Positive,neutral,0.8593767285346985,0.0008696684963069856,False
Suna hai firse lag gaye apke 😂,1,30,7,1,0,0,suna hai firse lag gaye apke 😂,1,False,0,False,0.128,Positive,neutral,0.43050616979599,0.3194105327129364,False
